Temperature,Humidity,Measure1,Measure2,Measure3,Measure4,Measure5,Failure
67,82,291,1,1,1041,846,No
68,77,1180,1,1,1915,1194,No
64,76,1406,1,1,511,1577,No
63,80,550,1,1,1754,1834,No
65,81,1928,1,2,1326,1082,No
67,84,398,1,2,1901,1801,No
67,83,847,0,2,1849,1141,No
67,76,1021,2,1,185,170,No
65,80,1731,2,0,1424,1176,No
63,80,415,0,0,1008,1086,No
61,83,525,2,2,603,1630,No
62,81,1719,3,1,880,575,No
62,76,1116,0,0,588,166,No
60,82,282,1,1,1406,1727,No
61,79,637,3,0,821,511,No
64,77,1831,0,2,1277,1622,No
60,80,1622,3,2,846,1462,No
64,85,1885,3,2,503,569,No
62,82,616,2,2,634,1722,No
60,75,965,2,0,176,1456,No
60,82,1238,2,1,171,1595,No
67,78,1327,0,1,1248,1185,No
63,79,632,1,2,1037,543,No
66,85,861,3,1,1962,1391,No
67,75,298,2,2,678,211,No
67,82,333,0,2,1407,1305,No
69,82,1196,2,1,343,471,No
61,84,1909,1,2,1102,1846,No
63,79,1645,0,1,311,1314,No
63,84,1004,3,2,1760,372,No
63,78,275,0,1,164,424,No
68,82,1767,2,1,908,996,No
67,76,1303,2,2,679,692,No
65,81,1482,1,2,1275,1915,No
68,83,1241,3,2,197,1418,No
61,77,1863,1,1,1106,181,No
68,76,1464,2,2,459,706,No
68,82,397,0,0,1376,155,No
68,82,584,2,1,448,1354,No
66,85,1852,2,2,333,1799,No
68,85,1834,1,1,1050,732,No
66,85,1701,0,0,1825,1864,No
62,80,1233,0,2,1717,364,No
62,79,312,2,1,1405,860,No
65,81,1965,2,0,796,1539,No
65,83,238,2,2,993,1349,No
68,75,795,0,2,919,1789,No
63,81,731,2,2,755,817,No
60,81,467,1,1,1627,1747,No
63,76,1067,2,0,925,1039,No
63,85,1868,3,0,684,1784,No
60,80,1024,0,1,1175,1676,No
60,79,1877,0,2,433,1801,No
68,76,981,0,0,1337,1495,No
62,85,359,1,0,643,1423,No
63,80,527,3,2,1119,1356,No
68,76,650,1,2,892,1989,No
65,84,1195,3,1,1766,1240,No
62,77,597,3,2,974,1428,No
62,82,1725,1,1,1719,333,No
64,110,1311,2,1,1179,1001,No
63,85,1602,2,0,167,428,No
66,79,945,2,0,622,1753,No
68,84,1631,2,0,271,1943,No
63,84,199,2,1,825,705,No
62,80,705,0,1,1727,1427,No
67,77,287,1,1,1486,808,No
66,83,1651,0,1,183,843,No
66,85,1983,0,0,988,1322,No
68,75,1645,0,0,1748,1578,No
64,83,1459,1,0,649,1289,No
61,78,618,2,1,745,381,No
66,83,874,3,1,1434,1635,No
64,84,1499,3,0,1241,1693,No
61,75,1160,1,1,440,1457,No
62,77,208,2,0,534,1021,No
61,82,1306,0,1,804,1260,No
66,82,264,0,1,1645,599,No
63,81,1281,3,1,997,2006,No
66,76,786,3,2,410,612,No
64,78,345,2,0,1522,1060,No
65,76,1331,2,0,1379,1859,No
66,79,312,3,1,304,1707,No
67,78,1156,1,0,734,1010,No
64,84,689,0,0,1734,220,No
67,75,1273,3,2,508,976,No
64,76,1107,1,1,1213,673,No
63,82,756,1,2,599,1003,No
65,80,326,2,0,930,507,No
68,85,436,1,2,1348,1816,No
64,84,1683,2,0,990,1905,No
61,76,1878,2,2,295,1544,No
65,81,1348,3,1,666,1717,No
62,76,771,3,2,887,747,No
61,78,890,0,2,1707,1646,No
65,78,459,1,0,1044,1321,No
60,83,1742,3,2,579,1139,No
66,83,1922,2,1,1260,1485,No
64,79,1735,3,0,568,1116,No
67,75,1335,1,2,1151,1544,No
66,80,1365,2,0,804,1838,No
64,80,898,0,2,1221,704,No
66,81,1637,2,0,530,1336,No
62,85,991,2,1,1255,1993,No
61,80,1782,2,2,1534,1206,No
61,77,1452,0,0,1477,1329,No
66,78,1027,0,2,158,334,No
67,83,1860,2,2,1678,1025,No
60,78,317,3,2,1781,1923,No
67,80,1905,1,1,232,172,No
66,76,1686,1,0,1313,1680,No
63,76,848,0,1,1302,1107,No
66,78,571,2,0,1047,1309,No
62,82,696,3,2,1381,1459,No
61,83,1951,3,2,1347,560,No
60,75,706,0,1,774,904,No
68,80,1895,2,0,536,518,No
63,82,1250,0,2,1679,1822,No
66,76,1220,0,1,430,1121,No
66,84,657,1,2,1896,1589,No
67,81,531,0,2,1379,1617,No
66,78,377,1,2,577,663,No
68,82,753,0,0,1570,764,No
64,85,1829,2,0,1425,234,No
67,84,1570,2,1,1123,1757,No
60,85,397,3,2,1765,996,No
66,79,1959,0,2,329,1529,No
64,79,504,3,1,229,516,No
68,79,693,3,1,1813,1440,No
63,75,1124,0,0,589,461,No
62,85,869,0,2,401,1126,No
68,77,697,1,1,1022,1406,No
60,79,718,2,1,1558,557,No
67,77,1400,2,0,1628,1415,No
65,77,1623,3,0,1221,701,No
67,84,1988,0,0,886,1418,No
62,80,1278,0,0,1230,1836,No
66,75,1650,0,1,915,867,No
62,75,329,3,2,1864,676,No
68,85,1319,2,0,929,683,No
62,84,542,2,0,1419,1575,No
66,85,1889,2,2,214,568,No
63,82,1947,1,2,411,681,No
67,77,1067,2,2,942,1693,No
65,84,333,2,0,707,1297,No
66,77,1056,0,2,573,1784,No
61,75,586,3,1,1968,929,No
60,82,1288,3,1,1988,780,No
63,85,1774,0,1,1058,614,Yes
60,81,1490,0,0,524,1539,No
68,75,498,0,2,1533,820,No
66,78,370,2,0,264,736,No
65,76,1863,1,1,1075,1715,No
67,78,1315,3,2,1157,448,No
68,82,1059,1,2,658,1386,No
66,79,164,3,1,1853,1696,No
64,78,1196,1,0,1937,1600,No
67,84,1847,2,1,1798,1454,No
62,79,1920,3,2,1009,1710,No
62,84,1044,1,0,456,1485,No
63,80,1608,0,1,1305,1065,No
65,83,880,1,1,582,1333,No
62,82,569,1,2,368,1341,No
61,75,1745,0,0,1798,1427,No
68,76,1833,2,2,210,928,No
61,79,2004,3,0,1315,502,No
64,78,1696,3,1,1877,572,No
60,80,769,1,1,1002,160,No
65,82,1761,3,1,895,1582,No
63,78,941,0,1,1262,1344,No
68,82,1466,1,2,1458,407,No
68,78,914,2,1,1056,1369,No
68,85,231,1,1,267,1855,No
66,80,1193,1,1,342,549,No
66,85,1735,3,1,1036,378,No
62,85,1781,3,0,347,849,No
60,84,1614,0,2,391,1937,No
64,83,705,2,2,807,167,No
63,84,306,3,1,826,874,No
62,83,953,2,0,2009,252,No
64,79,1923,0,1,556,1770,No
67,84,284,3,0,1225,1035,No
67,79,1049,0,0,329,179,No
61,82,264,3,0,545,1093,No
64,85,1717,2,0,449,750,No
67,79,1057,0,2,903,1839,No
65,78,1022,1,1,1576,1617,No
64,85,1898,2,0,1025,1818,No
63,80,428,0,1,683,912,No
61,77,1661,0,1,420,178,No
64,75,503,1,2,458,1227,No
63,85,540,3,0,815,1395,No
63,83,1439,0,2,889,251,No
68,82,707,0,0,1008,991,No
63,77,244,1,1,1227,218,No
65,84,2003,2,2,187,1773,No
62,81,163,2,2,189,631,No
68,75,938,0,1,1606,525,No
62,82,1525,3,0,597,1741,No
62,84,675,3,0,1717,502,No
61,77,1307,0,0,1338,1435,No
65,83,360,2,0,1717,1213,No
64,81,431,2,1,1563,756,No
65,79,956,2,1,1859,1659,No
62,80,1218,1,2,635,1439,No
68,81,1436,3,1,1673,1794,No
66,75,1300,0,1,183,1003,No
60,75,223,3,2,1395,720,No
60,79,1203,1,0,485,871,No
64,79,1095,2,0,1035,1760,No
63,75,702,3,0,1219,1914,No
66,85,257,3,0,384,1540,No
66,77,1794,1,1,1317,516,No
67,85,1988,0,1,197,856,No
67,83,1215,2,0,777,332,No
66,83,699,2,2,1893,454,No
65,80,1906,3,2,995,1982,No
63,78,284,3,0,511,1205,No
68,83,580,0,1,616,241,No
67,79,1762,2,1,1211,425,No
66,80,1478,3,0,1367,840,No
68,85,1878,1,2,822,218,No
62,81,1642,0,1,241,1574,No
63,77,990,3,0,571,1238,No
60,78,451,2,1,1052,1113,No
67,81,630,0,0,427,1121,No
62,83,1623,1,1,1525,1712,No
60,82,1404,0,2,2004,1335,No
60,76,1480,2,1,1183,307,No
60,83,990,2,2,833,277,No
66,80,1498,0,0,585,1985,No
65,77,1766,2,1,334,1523,No
63,82,246,0,1,1313,386,No
62,85,1570,2,1,1865,1200,No
60,84,599,0,0,177,229,No
